condition,food,warning,explanation
alzheimer's disease,docosahexaenoic acid,safe,"docosahexaenoic acid (dha) is a fatty acid abundant in the brain, and is reported to have protective effects against alzheimer's disease, although the mechanistic effects of dha against alzheimer's pathophysiology remain unclear."
asthma,aerosolized crab allergens,dangerous,aerosolized crab allergens are suspected etiologic agents for asthma among crab-processing workers.
obesity,diets with high fat and carbohydrate content,dangerous,"among other factors, diets with high fat and carbohydrate content have been implicated in obesity."
metabolic disorders,eicosapentaenoic acid,safe,"dietary n-3 fatty acids, especially of marine origin, eicosapentaenoic acid (20:5n-3) and docosahexaenoic acid (22:6n-3), have always been lauded for their profound effects on regulating the risk factors for major metabolic disorders."
atopic dermatitis,hard water,safe,"this review summarizes the mechanism and effects of dead sea salt, hard water, commercial baby cleansers, oatmeal, rice, and natural oils as bathing additives for the treatment of atopic dermatitis."
hypertension,egg,safe,egg may support balanced diet for hypertension.
inflammation,chicken protein hydrolysates ( cphs ),safe,chicken protein hydrolysates (cphs) generated from rest raw materials through enzymatic hydrolysis using corolase pp or alcalase were shown to reduce inflammation and stimulate hepatic mitochondrial fatty acid oxidation in high-fat-fed mice.
vcind,vegetable-based diet,safe,"a high level of education, manual-work, low level of alcohol use, regular health checks, a vegetable-based diet, and more fruit and milk were protective factors for vcind."
bronchitis,flour,dangerous,"symptoms suggestive of chronic bronchitis or chronic productive cough were found in 29.0% of 100 workers exposed to flour dust in a flour mill, 26.0% presenting with chronic cough and 29.0% with phlegm."
hyperglycemia,capsicum,safe,all evaluated pepper (capsicum) genus exhibited both anti-hyperglycemia and anti-hypertension potential.
autoimmune diseases,processed foods,dangerous,"among these, dietary habits, and especially an excessive salt, typical of processed foods, has been implicated in the development of autoimmune diseases."
prediabetes,beans,can worsen,beans with serving size 28.4g recorded in nhanes dietary data for hypertension and prediabetes patients.
hypertension,nuts,can worsen,nuts with serving size 28.4g recorded in nhanes dietary data for hypertension and prediabetes patients.
cognitive decline,wine,safe,some studies have shown a potential role for grapes or wine in slowing cognitive decline and other effects of aging.
cardiovascular disorders,diets rich in (poly)phenols,safe,diets rich in (poly)phenols are associated with a reduced reduction in the incidence of cardiovascular disorders.
ailments,punica granatum,safe,over one thousand cultivars of punica granatum (punicaceae) are known and some are traditionally used to treat various ailments.
knee osteoarthritis,avocado soybean unsaponifiables (asu),safe,"avocado soybean unsaponifiables (asu) has proven its safety and effectiveness in clinical studies of knee osteoarthritis (oa); however, whether asu exerts structure-modifying effects is still to be elucidated."
respiratory allergy,flour,dangerous,"out of the 314 subjects tested, 22 (7%) had a respiratory allergy against flour (flour rhinitis and/or flour asthma), and 21 (6.7%) a preexistent atopic disease without actual symptoms of flour allergy."
hypertension,puerto rican style food,safe,puerto rican style food may support balanced diet for hypertension.
dementia,fruit of alpinia oxyphylla,safe,the fruit of alpinia oxyphylla is often used in traditional chinese medicine to treat dementia and memory defects.
allergic,cabbage,safe,"quercetin is the major polyphenolic flavonoid found in food products, including berries, apples, cauliflower, tea, cabbage, nuts, and onions that have traditionally been treated as anticancer and antiviral, and used for the treatment of allergic, metabolic, and inflammatory disorders, eye and cardiovascular diseases, and arthritis."
pain,curcuma longa,safe,"turmeric (curcuma longa) has traditionally been used to treat pain, fever, allergic and inflammatory diseases such as bronchitis, arthritis, and dermatitis."
prediabetes,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/,safe,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/ may support balanced diet for prediabetes.
cardiovascular disease,ultra-processed foods,dangerous,a high percentage of total calories from ultra-processed foods has been associated with several cardiovascular disease risk factors.
cancer,psidium guajava,safe,"psidium guajava is a promising functional food against cancer, owing to a variety of bioactive compounds."
baker's rhinitis,wheat,dangerous,baker's rhinitis is a kind of occupational allergic rhinitis mainly caused by intranasal exposure to wheat and/or rye flour in bakery workers.
asthma,flour,dangerous,asthma could be induced by inhaled flour or by exposure to allergens present in bakery products.
hypertension,fish,safe,fish is nutritious and may help manage hypertension.
ad,salt,dangerous,"diets characterized by high intakes of refined sugars, salt, animal-derived proteins and fats and by low intakes of fruit and vegetables are associated with a higher risk of ad and can perturb the circadian modulation of cortisol secretion, which is associated with poor sleep quality."
prediabetes,fruit juice,safe,fruit juice is nutritious and may help manage prediabetes.
neurodegenerative diseases,eicosapentaenoic acid,safe,"omega-3 polyunsaturated fatty acids (n-3 pufas), docosahexaenoic acid (dha) and eicosapentaenoic acid (epa), have been reported to prevent neurodegenerative diseases such as alzheimer's disease (ad) in both experimental and clinical/epidemiological studies."
hypertension,burrito/taco/enchilada/pizza/lasanga,safe,burrito/taco/enchilada/pizza/lasanga may support balanced diet for hypertension.
hypertension,"meat substitute, cereal- and vegetable protein-based, fried",dangerous,"meat substitute, cereal- and vegetable protein-based, fried is high in fat/sugar and may worsen hypertension."
occupational diseases,flour,dangerous,bakers are exposed daily to flour and may be susceptible to immunologic occupational diseases.
prediabetes,lamb/goat/veal/venison,safe,lamb/goat/veal/venison may support balanced diet for prediabetes.
cardiovascular disease,ginseng,safe,"ginsenoside-rb1 (rb1), a major active component of ginseng, has many benefits for cardiovascular disease and diabetes mellitus (dm), but the effect and mechanism on diabetic cardiomyopathy are not clear."
cognitive impairment,soybean curd,dangerous,"paradoxically, the honolulu asia aging study reported an increased risk for cognitive impairment and other dementia markers with high tofu (soybean curd) intake."
systolic blood pressure,watermelon,safe,"consumption of watermelon has been associated with beneficial effects on metabolism, including reductions in systolic blood pressure, improved fasting blood glucose levels, and changes in hepatic metabolite accumulation."
prediabetes,egg omelet,can worsen,egg omelet with serving size 61.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
bmd,inadequate diet,safe,"inadequate diet, which may occur in depressed individuals prescribed ssris is also associated with decreased bmd."
prediabetes,chicken/turkey,can worsen,chicken/turkey with serving size 110.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
gastrointestinal perforation,steroids,dangerous,"the causes of gastrointestinal perforation with collagen diseases have been reported to be functional gastrointestinal disorders with collagen diseases like amyloidosis, gastrointestinal infections in immunocompromised patients, and side effects of medication, such as steroids or nsaids and mtx."
airway obstruction,milk,safe,"the hypothesis that vitamin a, or foods rich in vitamin a such as milk, protects against the development of airway obstruction was tested in a subsample of data from the 1971-1975 national health and nutrition examination survey."
memory deficits,green tea from camellia sinensis,safe,"green tea from camellia sinensis plays a neuroprotective role in different neurodegenerative conditions, such as memory deficits in alzheimer disease (ad)."
fatigue,citrus unshiu,safe,"citrus unshiu (rutaceae) is an easy-peeling citrus fruit, which has been used as a traditional korean medicine for improving skin elasticity, relieving fatigue and cough, and preventing bronchitis, flu, and various cancers."
inflammation,beer,safe,"we previously demonstrated that the consumption of iso-ãâãâãâãâ±-acids (iaa), the hop-derived bitter compounds in beer, prevents inflammation and alzheimer's disease pathology in model mice."
myxomatous mitral valve disease,fish oil,safe,"a cardiac protection blend (cpb) of nutrients including medium chain triglycerides, fish oil and other key nutrients was developed to slow the progression of canine myxomatous mitral valve disease (mmvd)."
dyspepsia,cinnamomum,safe,"cinnamomum cassia (c. cassia, lauraceae family), commonly used for treating dyspepsia, gastritis, blood circulation, and inflammatory diseases is considered as one of the 50 fundamental herbs in traditional chinese medicine."
hypertension,sugar/desserts,dangerous,sugar/desserts is high in fat/sugar and may worsen hypertension.
nausea,ginger,safe,vitamin b6 and ginger are both effective for nausea and vomiting in early pregnancy.
vascular damage,plant-based foods and beverages,safe,"flavonoids, compounds found in plant-based foods and beverages, might ameliorate vascular damage and atherosclerosis."
cardiovascular disease,chocolate,safe,three recent meta-analyses found significant prospective inverse associations between chocolate intake and cardiovascular disease risk.
