medicine,food,interaction,warning,explanation
lisinopril,raisins,risky,raises potassium,Raisins is high in potassium; ACE inhibitors may increase hyperkalemia risk.
metronidazole,coffee,safe,no major risk,Coffee with metronidazole generally poses no significant problem when consumed in moderation.
nitrofurantoin,brown rice,safe,no major risk,Brown rice with nitrofurantoin generally poses no significant problem when consumed in moderation.
metformin,laddu,risky,raises blood sugar,High-sugar foods like laddu can worsen glucose control while on metformin.
diclofenac,poha,safe,no major risk,Poha with diclofenac generally poses no significant problem when consumed in moderation.
valproate,kadhi,safe,no major risk,Kadhi with valproate generally poses no significant problem when consumed in moderation.
nitrofurantoin,pasta,safe,no major risk,Pasta with nitrofurantoin generally poses no significant problem when consumed in moderation.
warfarin,mysore pak,safe,no major risk,Mysore pak with warfarin generally poses no significant problem when consumed in moderation.
rosuvastatin,brown rice,safe,no major risk,Brown rice with rosuvastatin generally poses no significant problem when consumed in moderation.
fluconazole,french fries,safe,no major risk,French fries with fluconazole generally poses no significant problem when consumed in moderation.
tranylcypromine,halwa,safe,no major risk,Halwa with tranylcypromine generally poses no significant problem when consumed in moderation.
paracetamol,french fries,safe,no major risk,French fries with paracetamol generally poses no significant problem when consumed in moderation.
metformin,licorice,safe,no major risk,Licorice with metformin generally poses no significant problem when consumed in moderation.
phenelzine,carrot,safe,no major risk,Carrot with phenelzine generally poses no significant problem when consumed in moderation.
fluconazole,kathi roll,safe,no major risk,Kathi roll with fluconazole generally poses no significant problem when consumed in moderation.
nitrofurantoin,momos,safe,no major risk,Momos with nitrofurantoin generally poses no significant problem when consumed in moderation.
calcium supplements,sweet potato,safe,no major risk,Sweet potato with calcium supplements generally poses no significant problem when consumed in moderation.
insulin,bitter gourd,safe,no major risk,Bitter gourd with insulin generally poses no significant problem when consumed in moderation.
carbamazepine,bread,safe,no major risk,Bread with carbamazepine generally poses no significant problem when consumed in moderation.
paracetamol,red wine,safe,no major risk,Red wine with paracetamol generally poses no significant problem when consumed in moderation.
gliclazide,kale,safe,no major risk,Kale with gliclazide generally poses no significant problem when consumed in moderation.
tranylcypromine,mango,safe,no major risk,Mango with tranylcypromine generally poses no significant problem when consumed in moderation.
glimepiride,alcohol,safe,no major risk,Alcohol with glimepiride generally poses no significant problem when consumed in moderation.
