condition,food,warning,explanation
alzheimer's disease,docosahexaenoic acid,safe,"Docosahexaenoic acid (DHA) is a fatty acid abundant in the brain, and is reported to have protective effects against Alzheimer's disease, although the mechanistic effects of DHA against Alzheimer's pathophysiology remain unclear."
asthma,aerosolized crab allergens,dangerous,Aerosolized crab allergens are suspected etiologic agents for asthma among crab-processing workers.
obesity,diets with high fat and carbohydrate content,dangerous,"Among other factors, diets with high fat and carbohydrate content have been implicated in obesity."
metabolic disorders,eicosapentaenoic acid,safe,"Dietary n-3 fatty acids, especially of marine origin, eicosapentaenoic acid (20:5n-3) and docosahexaenoic acid (22:6n-3), have always been lauded for their profound effects on regulating the risk factors for major metabolic disorders."
atopic dermatitis,hard water,safe,"This review summarizes the mechanism and effects of Dead Sea salt, hard water, commercial baby cleansers, oatmeal, rice, and natural oils as bathing additives for the treatment of atopic dermatitis."
Hypertension,egg,safe,egg may support balanced diet for hypertension.
inflammation,chicken protein hydrolysates ( cphs ),safe,Chicken protein hydrolysates (CPHs) generated from rest raw materials through enzymatic hydrolysis using Corolase PP or Alcalase were shown to reduce inflammation and stimulate hepatic mitochondrial fatty acid oxidation in high-fat-fed mice.
vcind,vegetable-based diet,safe,"A high level of education, manual-work, low level of alcohol use, regular health checks, a vegetable-based diet, and more fruit and milk were protective factors for VCIND."
bronchitis,flour,dangerous,"Symptoms suggestive of chronic bronchitis or chronic productive cough were found in 29.0% of 100 workers exposed to flour dust in a flour mill, 26.0% presenting with chronic cough and 29.0% with phlegm."
hyperglycemia,capsicum,safe,All evaluated pepper (Capsicum) genus exhibited both anti-hyperglycemia and anti-hypertension potential.
autoimmune diseases,processed foods,dangerous,"Among these, dietary habits, and especially an excessive salt, typical of processed foods, has been implicated in the development of autoimmune diseases."
Prediabetes,Beans,can worsen,Beans with serving size 28.4g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,Nuts,can worsen,Nuts with serving size 28.4g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
cognitive decline,wine,safe,Some studies have shown a potential role for grapes or wine in slowing cognitive decline and other effects of aging.
cardiovascular disorders,diets rich in (poly)phenols,safe,Diets rich in (poly)phenols are associated with a reduced reduction in the incidence of cardiovascular disorders.
ailments,punica granatum,safe,Over one thousand cultivars of Punica granatum (Punicaceae) are known and some are traditionally used to treat various ailments.
knee osteoarthritis,avocado soybean unsaponifiables (asu),safe,"Avocado soybean unsaponifiables (ASU) has proven its safety and effectiveness in clinical studies of knee osteoarthritis (OA); however, whether ASU exerts structure-modifying effects is still to be elucidated."
respiratory allergy,flour,dangerous,"Out of the 314 subjects tested, 22 (7%) had a respiratory allergy against flour (flour rhinitis and/or flour asthma), and 21 (6.7%) a preexistent atopic disease without actual symptoms of flour allergy."
Hypertension,puerto rican style food,safe,puerto rican style food may support balanced diet for hypertension.
dementia,fruit of alpinia oxyphylla,safe,The fruit of Alpinia oxyphylla is often used in traditional Chinese medicine to treat dementia and memory defects.
allergic,cabbage,safe,"Quercetin is the major polyphenolic flavonoid found in food products, including berries, apples, cauliflower, tea, cabbage, nuts, and onions that have traditionally been treated as anticancer and antiviral, and used for the treatment of allergic, metabolic, and inflammatory disorders, eye and cardiovascular diseases, and arthritis."
pain,curcuma longa,safe,"Turmeric (Curcuma longa) has traditionally been used to treat pain, fever, allergic and inflammatory diseases such as bronchitis, arthritis, and dermatitis."
Prediabetes,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/,safe,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/ may support balanced diet for prediabetes.
cardiovascular disease,ultra-processed foods,dangerous,A high percentage of total calories from ultra-processed foods has been associated with several cardiovascular disease risk factors.
cancer,psidium guajava,safe,"Psidium Guajava is a promising functional food against cancer, owing to a variety of bioactive compounds."
baker's rhinitis,wheat,dangerous,Baker's rhinitis is a kind of occupational allergic rhinitis mainly caused by intranasal exposure to wheat and/or rye flour in bakery workers.
asthma,flour,dangerous,Asthma could be induced by inhaled flour or by exposure to allergens present in bakery products.
Hypertension,Fish,safe,Fish is nutritious and may help manage hypertension.
ad,salt,dangerous,"Diets characterized by high intakes of refined sugars, salt, animal-derived proteins and fats and by low intakes of fruit and vegetables are associated with a higher risk of AD and can perturb the circadian modulation of cortisol secretion, which is associated with poor sleep quality."
Prediabetes,fruit juice,safe,fruit juice is nutritious and may help manage prediabetes.
neurodegenerative diseases,eicosapentaenoic acid,safe,"Omega-3 polyunsaturated fatty acids (n-3 PUFAs), docosahexaenoic acid (DHA) and eicosapentaenoic acid (EPA), have been reported to prevent neurodegenerative diseases such as Alzheimer's disease (AD) in both experimental and clinical/epidemiological studies."
Hypertension,Burrito/Taco/Enchilada/Pizza/lasanga,safe,Burrito/Taco/Enchilada/Pizza/lasanga may support balanced diet for hypertension.
Hypertension,"Meat substitute, cereal- and vegetable protein-based, fried",dangerous,"Meat substitute, cereal- and vegetable protein-based, fried is high in fat/sugar and may worsen hypertension."
occupational diseases,flour,dangerous,Bakers are exposed daily to flour and may be susceptible to immunologic occupational diseases.
Prediabetes,Lamb/Goat/Veal/Venison,safe,Lamb/Goat/Veal/Venison may support balanced diet for prediabetes.
cardiovascular disease,ginseng,safe,"Ginsenoside-Rb1 (Rb1), a major active component of ginseng, has many benefits for cardiovascular disease and diabetes mellitus (DM), but the effect and mechanism on diabetic cardiomyopathy are not clear."
cognitive impairment,soybean curd,dangerous,"Paradoxically, the Honolulu Asia Aging Study reported an increased risk for cognitive impairment and other dementia markers with high tofu (soybean curd) intake."
systolic blood pressure,watermelon,safe,"Consumption of watermelon has been associated with beneficial effects on metabolism, including reductions in systolic blood pressure, improved fasting blood glucose levels, and changes in hepatic metabolite accumulation."
Prediabetes,egg omelet,can worsen,egg omelet with serving size 61.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
bmd,inadequate diet,safe,"Inadequate diet, which may occur in depressed individuals prescribed SSRIs is also associated with decreased BMD."
Prediabetes,Chicken/Turkey,can worsen,Chicken/Turkey with serving size 110.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
gastrointestinal perforation,steroids,dangerous,"The causes of gastrointestinal perforation with collagen diseases have been reported to be functional gastrointestinal disorders with collagen diseases like amyloidosis, gastrointestinal infections in immunocompromised patients, and side effects of medication, such as steroids or NSAIDs and MTX."
airway obstruction,milk,safe,"The hypothesis that vitamin A, or foods rich in vitamin A such as milk, protects against the development of airway obstruction was tested in a subsample of data from the 1971-1975 National Health and Nutrition Examination Survey."
hyperglycemia,capsicum,safe,All evaluated pepper (Capsicum) genus exhibited both anti-hyperglycemia and anti-hypertension potential.
memory deficits,green tea from camellia sinensis,safe,"Green tea from Camellia sinensis plays a neuroprotective role in different neurodegenerative conditions, such as memory deficits in Alzheimer disease (AD)."
fatigue,citrus unshiu,safe,"Citrus unshiu (Rutaceae) is an easy-peeling citrus fruit, which has been used as a traditional Korean medicine for improving skin elasticity, relieving fatigue and cough, and preventing bronchitis, flu, and various cancers."
inflammation,beer,safe,"We previously demonstrated that the consumption of iso-ÃÂÃÂÃÂÃÂ±-acids (IAA), the hop-derived bitter compounds in beer, prevents inflammation and Alzheimer's disease pathology in model mice."
myxomatous mitral valve disease,fish oil,safe,"A cardiac protection blend (CPB) of nutrients including medium chain triglycerides, fish oil and other key nutrients was developed to slow the progression of canine myxomatous mitral valve disease (MMVD)."
dyspepsia,cinnamomum,safe,"Cinnamomum cassia (C. cassia, Lauraceae family), commonly used for treating dyspepsia, gastritis, blood circulation, and inflammatory diseases is considered as one of the 50 fundamental herbs in traditional Chinese medicine."
