type,medicine,condition,food,interaction,explanation,safe_alternative
medicine,lisinopril,,raisins,risky,Raisins is high in potassium; ACE inhibitors may increase hyperkalemia risk.,
medicine,metronidazole,,coffee,safe,Coffee with metronidazole generally poses no significant problem when consumed in moderation.,
medicine,nitrofurantoin,,brown rice,safe,Brown rice with nitrofurantoin generally poses no significant problem when consumed in moderation.,
medicine,metformin,,laddu,risky,High-sugar foods like laddu can worsen glucose control while on metformin.,
medicine,diclofenac,,poha,safe,Poha with diclofenac generally poses no significant problem when consumed in moderation.,
medicine,valproate,,kadhi,safe,Kadhi with valproate generally poses no significant problem when consumed in moderation.,
medicine,nitrofurantoin,,pasta,safe,Pasta with nitrofurantoin generally poses no significant problem when consumed in moderation.,
medicine,warfarin,,mysore pak,safe,Mysore pak with warfarin generally poses no significant problem when consumed in moderation.,
medicine,rosuvastatin,,brown rice,safe,Brown rice with rosuvastatin generally poses no significant problem when consumed in moderation.,
medicine,fluconazole,,french fries,safe,French fries with fluconazole generally poses no significant problem when consumed in moderation.,
medicine,tranylcypromine,,halwa,safe,Halwa with tranylcypromine generally poses no significant problem when consumed in moderation.,
medicine,paracetamol,,french fries,safe,French fries with paracetamol generally poses no significant problem when consumed in moderation.,
medicine,metformin,,licorice,safe,Licorice with metformin generally poses no significant problem when consumed in moderation.,
medicine,phenelzine,,carrot,safe,Carrot with phenelzine generally poses no significant problem when consumed in moderation.,
medicine,fluconazole,,kathi roll,safe,Kathi roll with fluconazole generally poses no significant problem when consumed in moderation.,
medicine,nitrofurantoin,,momos,safe,Momos with nitrofurantoin generally poses no significant problem when consumed in moderation.,
medicine,calcium supplements,,sweet potato,safe,Sweet potato with calcium supplements generally poses no significant problem when consumed in moderation.,
medicine,insulin,,bitter gourd,safe,Bitter gourd with insulin generally poses no significant problem when consumed in moderation.,
medicine,carbamazepine,,bread,safe,Bread with carbamazepine generally poses no significant problem when consumed in moderation.,
medicine,paracetamol,,red wine,safe,Red wine with paracetamol generally poses no significant problem when consumed in moderation.,
medicine,gliclazide,,kale,safe,Kale with gliclazide generally poses no significant problem when consumed in moderation.,
medicine,tranylcypromine,,mango,safe,Mango with tranylcypromine generally poses no significant problem when consumed in moderation.,
medicine,glimepiride,,alcohol,safe,Alcohol with glimepiride generally poses no significant problem when consumed in moderation.,
medicine,iron supplements,,tofu,safe,Tofu with iron supplements generally poses no significant problem when consumed in moderation.,
medicine,tacrolimus,,peda,safe,Peda with tacrolimus generally poses no significant problem when consumed in moderation.,
medicine,tranylcypromine,,mutton curry,safe,Mutton curry with tranylcypromine generally poses no significant problem when consumed in moderation.,
medicine,tranylcypromine,,green tea,safe,Green tea with tranylcypromine generally poses no significant problem when consumed in moderation.,
medicine,paracetamol,,turmeric latte,safe,Turmeric latte with paracetamol generally poses no significant problem when consumed in moderation.,
medicine,tetracycline,,ice cream,risky,Minerals in dairy can bind tetracycline and reduce absorption; separate dosing.,
medicine,fluconazole,,peda,safe,Peda with fluconazole generally poses no significant problem when consumed in moderation.,
medicine,iron supplements,,white rice,safe,White rice with iron supplements generally poses no significant problem when consumed in moderation.,
medicine,simvastatin,,ramen,safe,Ramen with simvastatin generally poses no significant problem when consumed in moderation.,
medicine,esomeprazole,,yogurt,safe,Yogurt with esomeprazole generally poses no significant problem when consumed in moderation.,
