food,safe_alternative,reason
misal pav,baked fish,Baked fish is lower sodium content supports heart health compared to misal pav.
large gulab jamun,baked fish,Baked fish is fermented or dairy option aids digestion compared to large gulab jamun.
brownie,sprouts salad,Sprouts salad is fermented or dairy option aids digestion compared to brownie.
masala dal makhani,baked sweet potato,Baked sweet potato is lower sodium content supports heart health compared to masala dal makhani.
manchurian,brown rice,Brown rice is whole grains provide sustained energy compared to manchurian.
white bread,steamed idli,Steamed idli is lower in saturated fat and calories compared to white bread.
family pack gulab jamun,grilled baked fish,Grilled baked fish is whole grains provide sustained energy compared to family pack gulab jamun.
pav bhaji,tofu tikka,Tofu tikka is contains more protein to keep you full compared to pav bhaji.
masala packaged juice,whole wheat roti,Whole wheat roti is lower sodium content supports heart health compared to masala packaged juice.
rasmalai,roasted veggies,Roasted veggies is lower sodium content supports heart health compared to rasmalai.
double cake,baked sweet potato,Baked sweet potato is reduced oil and lighter on the stomach compared to double cake.
large sugarcane juice,buttermilk,Buttermilk is lower in saturated fat and calories compared to large sugarcane juice.
garlic butter dosa,no butter sattu drink (unsweetened),No butter sattu drink (unsweetened) is whole grains provide sustained energy compared to garlic butter dosa.
masala butter dosa,grilled fish,Grilled fish is lower in saturated fat and calories compared to masala butter dosa.
double falooda,grilled chicken,Grilled chicken is includes more vegetables and micronutrients compared to double falooda.
kheer,no butter hand-pounded rice,No butter hand-pounded rice is less sugar and better for blood glucose control compared to kheer.
ice cream,low-oil dark chocolate (small piece),Low-oil dark chocolate (small piece) is less sugar and better for blood glucose control compared to ice cream.
ramen with pork,plain dosa,Plain dosa is contains more protein to keep you full compared to ramen with pork.
pani puri,stir-fried veggies,Stir-fried veggies is reduced oil and lighter on the stomach compared to pani puri.
mutton biryani,baked samosa,Baked samosa is whole grains provide sustained energy compared to mutton biryani.
large cold coffee,oats upma,Oats upma is baked or steamed instead of deep-fried compared to large cold coffee.
large pizza,oats dosa,Oats dosa is reduced oil and lighter on the stomach compared to large pizza.
masala french fries,air-popped popcorn,Air-popped popcorn is contains more protein to keep you full compared to masala french fries.
sev,stir-fried veggies,Stir-fried veggies is lower in saturated fat and calories compared to sev.
hakka noodles,no butter sauteed greens,No butter sauteed greens is lower in saturated fat and calories compared to hakka noodles.
kheer,steamed idli,Steamed idli is higher in fiber which improves satiety compared to kheer.
large brownie sundae,dal fry (less oil),Dal fry (less oil) is higher in fiber which improves satiety compared to large brownie sundae.
spring rolls,no sugar baked fish,No sugar baked fish is includes more vegetables and micronutrients compared to spring rolls.
sugarcane juice,oats dosa,Oats dosa is reduced oil and lighter on the stomach compared to sugarcane juice.
garlic sweet lassi,no butter hand-pounded rice,No butter hand-pounded rice is less sugar and better for blood glucose control compared to garlic sweet lassi.
ramen with pork,steamed green tea,Steamed green tea is higher in fiber which improves satiety compared to ramen with pork.
garlic bread,millet roti,Millet roti is lower in saturated fat and calories compared to garlic bread.
extra cheese flavored yogurt,no sugar low-fat yogurt,No sugar low-fat yogurt is higher in fiber which improves satiety compared to extra cheese flavored yogurt.
garlic mutton biryani,dal tadka,Dal tadka is higher in fiber which improves satiety compared to garlic mutton biryani.
garlic ice cream,grilled chicken,Grilled chicken is includes more vegetables and micronutrients compared to garlic ice cream.
double pepperoni pizza,steamed plain dosa,Steamed plain dosa is fermented or dairy option aids digestion compared to double pepperoni pizza.
regular sweet lassi,plain sattu drink (unsweetened),Plain sattu drink (unsweetened) is fermented or dairy option aids digestion compared to regular sweet lassi.
kathi roll,brown rice,Brown rice is baked or steamed instead of deep-fried compared to kathi roll.
misal pav,buttermilk,Buttermilk is lower sodium content supports heart health compared to misal pav.
vada pav,paneer tikka,Paneer tikka is lower sodium content supports heart health compared to vada pav.
bhel puri,no butter brown rice,No butter brown rice is fermented or dairy option aids digestion compared to bhel puri.
dal makhani,vegetable khichdi,Vegetable khichdi is whole grains provide sustained energy compared to dal makhani.
brownie sundae,millet roti,Millet roti is reduced oil and lighter on the stomach compared to brownie sundae.
vada pav,coconut water,Coconut water is fermented or dairy option aids digestion compared to vada pav.
cold coffee,stir-fried veggies,Stir-fried veggies is reduced oil and lighter on the stomach compared to cold coffee.
double cheese pizza,dark chocolate (small piece),Dark chocolate (small piece) is fermented or dairy option aids digestion compared to double cheese pizza.
samosa,baked sweet potato,Baked sweet potato is higher in fiber which improves satiety compared to samosa.
regular white bread,multigrain roti,Multigrain roti is less sugar and better for blood glucose control compared to regular white bread.
paneer tikka pizza,light baked samosa,Light baked samosa is contains more protein to keep you full compared to paneer tikka pizza.
cheeseburger,light roasted chana,Light roasted chana is less sugar and better for blood glucose control compared to cheeseburger.
regular noodles,low-oil green tea,Low-oil green tea is lower sodium content supports heart health compared to regular noodles.
double butter naan,greek yogurt,Greek yogurt is includes more vegetables and micronutrients compared to double butter naan.
brownie sundae,sattu drink (unsweetened),Sattu drink (unsweetened) is less sugar and better for blood glucose control compared to brownie sundae.
garlic double cheese pizza,unsweetened ragi dosa,Unsweetened ragi dosa is lower sodium content supports heart health compared to garlic double cheese pizza.
samosa,steamed idli,Steamed idli is lower sodium content supports heart health compared to samosa.
cola,tandoori chicken,Tandoori chicken is reduced oil and lighter on the stomach compared to cola.
instant noodles,light sweet potato chaat,Light sweet potato chaat is lower sodium content supports heart health compared to instant noodles.
large momos fried,buttermilk,Buttermilk is lower sodium content supports heart health compared to large momos fried.
large vada pav,cucumber salad,Cucumber salad is fermented or dairy option aids digestion compared to large vada pav.
regular chole bhature,unsweetened hand-pounded rice,Unsweetened hand-pounded rice is higher in fiber which improves satiety compared to regular chole bhature.
cola,plain vegetable soup,Plain vegetable soup is higher in fiber which improves satiety compared to cola.
energy drink,tandoori chicken,Tandoori chicken is reduced oil and lighter on the stomach compared to energy drink.
misal pav,vegetable soup,Vegetable soup is whole grains provide sustained energy compared to misal pav.
loaded kaju katli,low-oil fruit salad,Low-oil fruit salad is baked or steamed instead of deep-fried compared to loaded kaju katli.
small chole bhature,grilled chaas,Grilled chaas is lower in saturated fat and calories compared to small chole bhature.
spicy bhatura,low-oil dark chocolate (small piece),Low-oil dark chocolate (small piece) is baked or steamed instead of deep-fried compared to spicy bhatura.
butter naan,light black coffee (no sugar),Light black coffee (no sugar) is lower sodium content supports heart health compared to butter naan.
kachori,steamed tofu tikka,Steamed tofu tikka is baked or steamed instead of deep-fried compared to kachori.
french fries,quinoa,Quinoa is whole grains provide sustained energy compared to french fries.
double sugarcane juice,low-oil nuts mix (unsalted),Low-oil nuts mix (unsalted) is lower in saturated fat and calories compared to double sugarcane juice.
extra cheese pav bhaji,sprouts salad,Sprouts salad is fermented or dairy option aids digestion compared to extra cheese pav bhaji.
fish and chips,baked fish,Baked fish is fermented or dairy option aids digestion compared to fish and chips.
bhujia,air-popped popcorn,Air-popped popcorn is higher in fiber which improves satiety compared to bhujia.
large cheese fries,no sugar sprouts salad,No sugar sprouts salad is higher in fiber which improves satiety compared to large cheese fries.
laddu,no sugar black coffee (no sugar),No sugar black coffee (no sugar) is fermented or dairy option aids digestion compared to laddu.
extra cheese cola,low-fat yogurt,Low-fat yogurt is lower sodium content supports heart health compared to extra cheese cola.
brownie,ragi dosa,Ragi dosa is higher in fiber which improves satiety compared to brownie.
