condition,food,warning,explanation
diabetes,rajma,triggers allergy,eating rajma can triggers allergy in people with diabetes.
diabetes,rasgulla,causes bloating,eating rasgulla can causes bloating in people with diabetes.
diabetes,butter chicken,triggers allergy,eating butter chicken can triggers allergy in people with diabetes.
diabetes,tulsi tea,high salt content,eating tulsi tea can high salt content in people with diabetes.
diabetes,laddu,reduces medicine effectiveness,eating laddu can reduces medicine effectiveness in people with diabetes.
diabetes,pakora,increases blood pressure,eating pakora can increases blood pressure in people with diabetes.
diabetes,butter,triggers allergy,eating butter can triggers allergy in people with diabetes.
diabetes,curry leaves,raises blood glucose,eating curry leaves can raises blood glucose in people with diabetes.
diabetes,chai,raises blood glucose,eating chai can raises blood glucose in people with diabetes.
diabetes,dal,high salt content,eating dal can high salt content in people with diabetes.
hypertension,turmeric,triggers allergy,eating turmeric can triggers allergy in people with hypertension.
hypertension,jalebi,raises uric acid,eating jalebi can raises uric acid in people with hypertension.
hypertension,methi,may worsen symptoms,eating methi can may worsen symptoms in people with hypertension.
hypertension,papad,increases blood pressure,eating papad can increases blood pressure in people with hypertension.
hypertension,prawn,reduces medicine effectiveness,eating prawn can reduces medicine effectiveness in people with hypertension.
hypertension,dosa,high salt content,eating dosa can high salt content in people with hypertension.
hypertension,chai,increases blood pressure,eating chai can increases blood pressure in people with hypertension.
hypertension,alcohol,raises uric acid,eating alcohol can raises uric acid in people with hypertension.
hypertension,coconut water,increases blood pressure,eating coconut water can increases blood pressure in people with hypertension.
hypertension,guava,causes bloating,eating guava can causes bloating in people with hypertension.
heart failure,prawn,raises blood glucose,eating prawn can raises blood glucose in people with heart failure.
heart failure,pickle,raises blood glucose,eating pickle can raises blood glucose in people with heart failure.
heart failure,coconut water,reduces medicine effectiveness,eating coconut water can reduces medicine effectiveness in people with heart failure.
heart failure,paneer,reduces medicine effectiveness,eating paneer can reduces medicine effectiveness in people with heart failure.
heart failure,milk,raises uric acid,eating milk can raises uric acid in people with heart failure.
heart failure,idli,increases blood pressure,eating idli can increases blood pressure in people with heart failure.
heart failure,papad,raises uric acid,eating papad can raises uric acid in people with heart failure.
heart failure,onion,reduces medicine effectiveness,eating onion can reduces medicine effectiveness in people with heart failure.
heart failure,rajma,may worsen symptoms,eating rajma can may worsen symptoms in people with heart failure.
heart failure,dal,may worsen symptoms,eating dal can may worsen symptoms in people with heart failure.
chronic kidney disease,banana,causes bloating,eating banana can causes bloating in people with chronic kidney disease.
chronic kidney disease,butter,may worsen symptoms,eating butter can may worsen symptoms in people with chronic kidney disease.
chronic kidney disease,rajma,may worsen symptoms,eating rajma can may worsen symptoms in people with chronic kidney disease.
chronic kidney disease,laddu,increases blood pressure,eating laddu can increases blood pressure in people with chronic kidney disease.
chronic kidney disease,papad,raises blood glucose,eating papad can raises blood glucose in people with chronic kidney disease.
chronic kidney disease,rice,high salt content,eating rice can high salt content in people with chronic kidney disease.
chronic kidney disease,pulao,raises blood glucose,eating pulao can raises blood glucose in people with chronic kidney disease.
chronic kidney disease,garlic,causes bloating,eating garlic can causes bloating in people with chronic kidney disease.
chronic kidney disease,chicken tikka,raises uric acid,eating chicken tikka can raises uric acid in people with chronic kidney disease.
chronic kidney disease,samosa,raises uric acid,eating samosa can raises uric acid in people with chronic kidney disease.
gout,pickle,raises blood glucose,eating pickle can raises blood glucose in people with gout.
gout,rasgulla,raises blood glucose,eating rasgulla can raises blood glucose in people with gout.
gout,pakora,reduces medicine effectiveness,eating pakora can reduces medicine effectiveness in people with gout.
gout,dosa,causes bloating,eating dosa can causes bloating in people with gout.
gout,prawn,triggers allergy,eating prawn can triggers allergy in people with gout.
gout,dal,high salt content,eating dal can high salt content in people with gout.
gout,garlic,high salt content,eating garlic can high salt content in people with gout.
gout,curd,causes bloating,eating curd can causes bloating in people with gout.
gout,white rice,increases blood pressure,eating white rice can increases blood pressure in people with gout.
gout,papad,reduces medicine effectiveness,eating papad can reduces medicine effectiveness in people with gout.
anemia,spinach,raises blood glucose,eating spinach can raises blood glucose in people with anemia.
anemia,tulsi tea,causes bloating,eating tulsi tea can causes bloating in people with anemia.
anemia,chana,reduces medicine effectiveness,eating chana can reduces medicine effectiveness in people with anemia.
anemia,pulao,high salt content,eating pulao can high salt content in people with anemia.
anemia,jalebi,raises uric acid,eating jalebi can raises uric acid in people with anemia.
anemia,butter,high salt content,eating butter can high salt content in people with anemia.
anemia,kale,reduces medicine effectiveness,eating kale can reduces medicine effectiveness in people with anemia.
anemia,coconut water,raises blood glucose,eating coconut water can raises blood glucose in people with anemia.
anemia,dosa,increases blood pressure,eating dosa can increases blood pressure in people with anemia.
anemia,biryani,increases blood pressure,eating biryani can increases blood pressure in people with anemia.
thyroid disorder,banana,reduces medicine effectiveness,eating banana can reduces medicine effectiveness in people with thyroid disorder.
thyroid disorder,curry leaves,raises blood glucose,eating curry leaves can raises blood glucose in people with thyroid disorder.
thyroid disorder,samosa,triggers allergy,eating samosa can triggers allergy in people with thyroid disorder.
thyroid disorder,kale,may worsen symptoms,eating kale can may worsen symptoms in people with thyroid disorder.
thyroid disorder,prawn,high salt content,eating prawn can high salt content in people with thyroid disorder.
thyroid disorder,butter chicken,may worsen symptoms,eating butter chicken can may worsen symptoms in people with thyroid disorder.
thyroid disorder,garlic,triggers allergy,eating garlic can triggers allergy in people with thyroid disorder.
