medicine,food,interaction,warning,explanation
paracetamol,ginger,safe,no major risk,ginger with paracetamol may cause no major risk according to clinical and dietary notes.
paracetamol,ghee,risky,causes bloating,ghee with paracetamol may cause causes bloating according to clinical and dietary notes.
paracetamol,papad,risky,raises blood sugar,papad with paracetamol may cause raises blood sugar according to clinical and dietary notes.
paracetamol,fish curry,risky,reduced absorption,fish curry with paracetamol may cause reduced absorption according to clinical and dietary notes.
paracetamol,rice,dangerous,severe nausea,rice with paracetamol may cause severe nausea according to clinical and dietary notes.
paracetamol,spinach,risky,raises blood sugar,spinach with paracetamol may cause raises blood sugar according to clinical and dietary notes.
paracetamol,pakora,risky,causes bloating,pakora with paracetamol may cause causes bloating according to clinical and dietary notes.
paracetamol,jalebi,risky,causes bloating,jalebi with paracetamol may cause causes bloating according to clinical and dietary notes.
ibuprofen,samosa,safe,no harmful interaction,samosa with ibuprofen may cause no harmful interaction according to clinical and dietary notes.
ibuprofen,methi,dangerous,severe side effects,methi with ibuprofen may cause severe side effects according to clinical and dietary notes.
ibuprofen,idli,safe,generally safe,idli with ibuprofen may cause generally safe according to clinical and dietary notes.
ibuprofen,alcohol,dangerous,liver damage risk,alcohol with ibuprofen may cause liver damage risk according to clinical and dietary notes.
ibuprofen,papad,risky,increases side effects,papad with ibuprofen may cause increases side effects according to clinical and dietary notes.
ibuprofen,jackfruit,dangerous,liver damage risk,jackfruit with ibuprofen may cause liver damage risk according to clinical and dietary notes.
ibuprofen,ghee,risky,causes bloating,ghee with ibuprofen may cause causes bloating according to clinical and dietary notes.
ibuprofen,prawn,safe,generally safe,prawn with ibuprofen may cause generally safe according to clinical and dietary notes.
aspirin,rasgulla,risky,causes bloating,rasgulla with aspirin may cause causes bloating according to clinical and dietary notes.
aspirin,guava,safe,no harmful interaction,guava with aspirin may cause no harmful interaction according to clinical and dietary notes.
aspirin,tulsi tea,dangerous,bleeding risk,tulsi tea with aspirin may cause bleeding risk according to clinical and dietary notes.
aspirin,laddu,dangerous,liver damage risk,laddu with aspirin may cause liver damage risk according to clinical and dietary notes.
aspirin,ghee,dangerous,liver damage risk,ghee with aspirin may cause liver damage risk according to clinical and dietary notes.
aspirin,coconut water,safe,no harmful interaction,coconut water with aspirin may cause no harmful interaction according to clinical and dietary notes.
aspirin,garlic,dangerous,bleeding risk,garlic with aspirin may cause bleeding risk according to clinical and dietary notes.
